run_id,timestamp_iso,variant_name,experiment_cell_id,model_variant,precision_mode,experiment_status,model_name,config_path,checkpoint_path,gpu_name,driver_version,cuda_version,pytorch_version,commit_hash,batch_size,warmup_steps,measured_steps,num_workers,cuda_id,dataset_note,split_note,frame_source_note,flag_compile,flag_amp,flag_preprocess_gpu,flag_compile_voxelizer,flag_nhwc,flag_memory_opt_scatter,flag_int8,flag_fp16_full,notes_amp_compile_mutually_exclusive,energy_method,prof_dataloader_mean_ms,prof_dataloader_p50_ms,prof_dataloader_p95_ms,prof_dataloader_p99_ms,prof_dataloader_std_ms,prof_h2d_mean_ms,prof_h2d_p50_ms,prof_h2d_p95_ms,prof_h2d_p99_ms,prof_h2d_std_ms,prof_read_points_mean_ms,prof_read_points_p50_ms,prof_read_points_p95_ms,prof_read_points_p99_ms,prof_read_points_std_ms,prof_cpu_prepare_mean_ms,prof_cpu_prepare_p50_ms,prof_cpu_prepare_p95_ms,prof_cpu_prepare_p99_ms,prof_cpu_prepare_std_ms,prof_data_to_gpu_pts_mean_ms,prof_data_to_gpu_pts_p50_ms,prof_data_to_gpu_pts_p95_ms,prof_data_to_gpu_pts_p99_ms,prof_data_to_gpu_pts_std_ms,prof_pre_processing_mean_ms,prof_pre_processing_p50_ms,prof_pre_processing_p95_ms,prof_pre_processing_p99_ms,prof_pre_processing_std_ms,prof_h2d_voxel_tail_mean_ms,prof_h2d_voxel_tail_p50_ms,prof_h2d_voxel_tail_p95_ms,prof_h2d_voxel_tail_p99_ms,prof_h2d_voxel_tail_std_ms,prof_forward_mean_ms,prof_forward_p50_ms,prof_forward_p95_ms,prof_forward_p99_ms,prof_forward_std_ms,prof_postprocess_mean_ms,prof_postprocess_p50_ms,prof_postprocess_p95_ms,prof_postprocess_p99_ms,prof_postprocess_std_ms,prof_full_frame_mean_ms,prof_full_frame_p50_ms,prof_full_frame_p95_ms,prof_full_frame_p99_ms,prof_full_frame_std_ms,prof_throughput_sps,prof_peak_gpu_memory_mb,prof_peak_gpu_memory_steady_mb,prof_t_rt_mean_ms,prof_mean_peak_gpu_memory_mb,prof_cuda_kernel_events,profile_output_dir,profile_latency_per_step_csv,energy_forward_mean_ms,energy_forward_p50_ms,energy_forward_p95_ms,energy_forward_p99_ms,energy_throughput_sps,energy_wall_time_s,energy_mean_power_W,energy_peak_power_W,energy_total_J,energy_samples_per_J,energy_samples_per_s_per_W,energy_output_dir,energy_samples_csv,energy_latency_per_step_csv,map_car_r11,kitti_car_3d_easy_r40,kitti_car_3d_moderate_r40,kitti_car_3d_hard_r40,eval_protocol_notes,ncu_report_path,ncu_top_kernel_name,ncu_roofline_bound,ncu_compute_intensity_flop_per_byte,ncu_dram_throughput_gbps,ncu_mem_throughput_pct_of_peak
861596973792,2026-04-14T01:23:36.856799+00:00,M0_FP32,M0_FP32,M0,FP32,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10G,580.95.05,11.8,2.1.2+cu118,,1,20,20,2,0,,,,false,false,false,false,false,false,false,false,,nvml_integrated,,,,,,,,,,,9.83,9.43,12.53,12.54,1.61,,,,,,0.86,0.89,1.18,1.19,0.18,24.77,26.12,34.0,34.59,6.8,,,,,,23.95,23.57,25.8,26.94,1.21,0.71,0.7,0.82,0.82,0.07,25.83,25.49,27.94,28.99,1.38,19.9,291.8,291.8,50.30,291.4,15511,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_FP32/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_FP32/profile/latency_per_step.csv,20.15,14.56,23.91,107.20,44.06,0.45,90.6,99.7,41.05,0.4872,0.4865,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_FP32/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_FP32/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_FP32/energy/energy_latency_per_step.csv,90.3604,95.9038,90.3604,89.4162,"KITTI AP from first 50 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
c1e3d5e4e80e,2026-04-14T01:34:49.308345+00:00,M0_FP32,M0_FP32,M0,FP32,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10,580.95.05,11.8,2.1.2+cu118,,1,5,5,2,0,,,,false,false,false,false,false,false,false,false,,nvml_integrated,,,,,,,,,,,7.83,7.81,8.32,8.36,0.4,,,,,,0.81,0.74,1.04,1.07,0.16,17.16,13.32,24.2,24.32,5.57,,,,,,19.55,19.21,20.65,20.83,0.73,0.59,0.57,0.65,0.66,0.04,21.16,20.77,22.57,22.8,0.94,26.2,291.1,291.1,38.11,290.2,0,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_FP32/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_FP32/profile/latency_per_step.csv,25.34,11.29,67.58,78.47,48.05,0.10,60.7,60.8,6.31,0.7925,0.7922,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_FP32/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_FP32/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_FP32/energy/energy_latency_per_step.csv,46.2644,24.3881,46.2644,53.4774,"KITTI AP from first 20 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
3547746b47ec,2026-04-14T02:29:53.834554+00:00,M0_FP32,M0_FP32,M0,FP32,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10,580.95.05,11.8,2.1.2+cu118,,1,5,5,2,0,,,,false,false,false,false,false,false,false,false,,nvml_integrated,,,,,,,,,,,7.56,7.49,8.27,8.3,0.57,,,,,,0.7,0.72,0.83,0.83,0.11,16.97,13.52,24.01,24.15,5.56,,,,,,18.91,18.88,19.55,19.57,0.53,0.53,0.53,0.6,0.61,0.05,20.87,20.21,23.41,23.9,1.66,26.9,291.1,291.1,37.11,290.2,0,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_FP32/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_FP32/profile/latency_per_step.csv,23.05,11.17,59.80,69.40,94.86,0.05,62.2,62.2,3.28,1.5244,1.5244,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_FP32/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_FP32/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_FP32/energy/energy_latency_per_step.csv,46.2644,24.3881,46.2644,53.4774,"KITTI AP from first 20 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
490510812995,2026-04-14T02:55:37.368198+00:00,M0_FP32,M0_FP32,M0,FP32,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10,580.95.05,11.8,2.1.2+cu118,,1,100,50,2,0,,,,false,false,false,false,false,false,false,false,,nvml_integrated,,,,,,,,,,,8.21,8.15,9.33,10.62,0.8,,,,,,0.88,0.88,1.11,1.16,0.13,19.64,20.02,26.72,27.48,4.73,,,,,,19.89,19.82,20.74,21.45,0.62,0.6,0.59,0.67,0.77,0.06,21.62,21.47,22.7,24.61,0.91,24.4,292.3,292.3,41.00,292.1,0,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_FP32/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_FP32/profile/latency_per_step.csv,14.09,12.48,15.50,56.61,70.58,0.71,111.0,113.5,78.59,0.6362,0.6361,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_FP32/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_FP32/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_FP32/energy/energy_latency_per_step.csv,82.7529,91.2450,82.7529,80.8811,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
0a18ab796449,2026-04-14T02:56:42.069686+00:00,M0_AMP,M0_AMP,M0,AMP,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10,580.95.05,11.8,2.1.2+cu118,,1,100,50,2,0,,,,false,true,false,false,false,false,false,false,Single mode: compile or AMP only (not both).,nvml_integrated,,,,,,,,,,,7.87,7.81,8.92,9.58,0.67,,,,,,0.8,0.78,1.03,1.12,0.13,19.13,19.28,26.58,27.78,4.68,,,,,,17.85,17.66,18.57,21.54,0.98,0.56,0.56,0.62,0.63,0.03,19.46,19.22,20.34,24.32,1.13,26.1,265.2,265.2,38.35,264.0,0,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_AMP/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_AMP/profile/latency_per_step.csv,10.29,8.05,10.16,56.47,75.95,0.66,100.0,110.5,65.70,0.7611,0.7591,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_AMP/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_AMP/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M0_AMP/energy/energy_latency_per_step.csv,82.7710,91.2450,82.7710,80.9102,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
c953560bbb91,2026-04-14T03:03:08.672104+00:00,M1_FP32,M1_FP32,M1,FP32,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10,580.95.05,11.8,2.1.2+cu118,,1,100,50,2,0,,,,true,false,false,false,false,false,false,false,Single mode: compile or AMP only (not both).,nvml_integrated,,,,,,,,,,,8.11,7.89,9.3,11.02,0.81,,,,,,0.88,0.88,1.04,1.4,0.16,19.54,19.5,26.15,27.51,4.64,,,,,,18.24,18.15,19.19,20.0,0.64,0.6,0.59,0.65,0.65,0.03,19.94,19.83,21.16,22.18,0.78,25.5,1460.2,1460.2,39.25,1296.8,0,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M1_FP32/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M1_FP32/profile/latency_per_step.csv,10.44,10.05,11.84,13.00,95.81,0.50,110.0,97.4,55.12,0.8708,0.8708,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M1_FP32/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M1_FP32/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M1_FP32/energy/energy_latency_per_step.csv,82.7497,91.2450,82.7497,80.8983,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
e963a86ba61a,2026-04-14T03:08:53.543249+00:00,M1_AMP,M1_AMP,M1,AMP,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10,580.95.05,11.8,2.1.2+cu118,,1,100,50,2,0,,,,true,true,false,false,false,false,false,false,M1_AMP: torch.compile + autocast(fp16); use generous --warmup for steady latency/energy (dynamo may recompile; short runs can skew energy p99).,nvml_integrated,,,,,,,,,,,7.83,7.77,8.94,10.33,0.75,,,,,,0.84,0.84,1.0,1.15,0.12,19.62,20.09,26.59,28.6,4.74,,,,,,14.56,14.38,16.06,16.82,0.71,0.65,0.58,0.62,2.27,0.39,16.24,16.04,18.24,19.09,0.92,28.0,1264.9,1264.9,35.67,1100.3,0,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M1_AMP/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M1_AMP/profile/latency_per_step.csv,7.78,7.17,10.29,13.43,128.59,0.37,127.5,80.3,47.61,1.0083,1.0083,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M1_AMP/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M1_AMP/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M1_AMP/energy/energy_latency_per_step.csv,82.7699,91.2450,82.7699,80.8852,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
9087c59c76ad,2026-04-14T03:09:50.824614+00:00,M2_FP32_mem_scatter,M2_FP32_mem_scatter,M2,FP32,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10,580.95.05,11.8,2.1.2+cu118,,1,100,50,2,0,,,,false,false,false,false,false,true,false,false,,nvml_integrated,,,,,,,,,,,8.11,8.17,8.81,9.49,0.52,,,,,,0.84,0.84,1.03,1.12,0.13,19.09,19.03,25.92,27.62,4.59,,,,,,20.83,20.85,21.7,22.46,0.62,0.59,0.59,0.63,0.69,0.04,22.5,22.47,23.94,25.22,0.9,24.2,292.3,292.3,41.34,292.1,0,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M2_FP32_mem_scatter/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M2_FP32_mem_scatter/profile/latency_per_step.csv,14.04,12.20,14.88,49.91,70.67,0.71,127.2,130.9,89.85,0.5565,0.5557,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M2_FP32_mem_scatter/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M2_FP32_mem_scatter/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M2_FP32_mem_scatter/energy/energy_latency_per_step.csv,82.7529,91.2450,82.7529,80.8811,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
290ebbecebcb,2026-04-14T03:10:49.797305+00:00,M2_FP32_mem_conv2d,M2_FP32_mem_conv2d,M2,FP32,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10,580.95.05,11.8,2.1.2+cu118,,1,100,50,2,0,,,,false,false,false,false,true,false,false,false,,nvml_integrated,,,,,,,,,,,7.42,7.41,8.05,8.77,0.42,,,,,,0.75,0.77,0.89,1.02,0.11,18.87,18.94,25.8,27.6,4.63,,,,,,20.25,20.37,20.81,21.44,0.48,0.55,0.54,0.6,0.82,0.07,21.77,21.88,22.99,23.6,0.68,24.7,292.7,292.7,40.42,292.4,0,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M2_FP32_mem_conv2d/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M2_FP32_mem_conv2d/profile/latency_per_step.csv,14.31,12.00,14.87,63.21,61.83,0.81,112.8,122.7,90.97,0.5496,0.5483,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M2_FP32_mem_conv2d/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M2_FP32_mem_conv2d/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M2_FP32_mem_conv2d/energy/energy_latency_per_step.csv,82.7497,91.2631,82.7497,80.8983,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
b00c6d5832e5,2026-04-14T03:11:48.530415+00:00,M2_FP32_mem_both,M2_FP32_mem_both,M2,FP32,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10,580.95.05,11.8,2.1.2+cu118,,1,100,50,2,0,,,,false,false,false,false,true,true,false,false,,nvml_integrated,,,,,,,,,,,7.97,7.78,9.44,10.42,0.86,,,,,,0.8,0.76,1.02,1.15,0.14,19.32,19.72,27.09,29.51,4.96,,,,,,21.81,21.68,23.05,23.14,0.73,0.6,0.6,0.71,1.05,0.11,23.45,23.25,25.12,25.66,1.02,23.5,292.7,292.7,42.53,292.4,0,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M2_FP32_mem_both/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M2_FP32_mem_both/profile/latency_per_step.csv,15.03,13.23,16.95,50.34,66.00,0.76,128.2,139.6,96.88,0.5161,0.5149,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M2_FP32_mem_both/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M2_FP32_mem_both/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v3_a10/M2_FP32_mem_both/energy/energy_latency_per_step.csv,82.7497,91.2631,82.7497,80.8983,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
